"TIME","GEO","SEX","UNIT","Value"
"2005W42","Montenegro","Total","Number","125"
"2005W42","Albania","Total","Number",":"
"2005W42","Serbia","Total","Number","2,135"
"2005W42","Andorra","Total","Number",":"
"2005W42","Armenia","Total","Number",":"
"2005W42","Georgia","Total","Number",":"
"2005W43","Belgium","Total","Number","1,921"
"2005W43","Bulgaria","Total","Number","2,143"
"2005W43","Czechia","Total","Number","1,947"
"2005W43","Denmark","Total","Number",":"
"2005W43","Germany (until 1990 former territory of the FRG)","Total","Number","15,485"
"2005W43","Estonia","Total","Number","341"
"2005W43","Ireland","Total","Number",":"
"2005W43","Greece","Total","Number",":"
"2005W43","Spain","Total","Number","6,665"
"2005W43","France","Total","Number",":"
"2005W43","Croatia","Total","Number","900"
"2005W43","Italy","Total","Number",":"
"2005W43","Cyprus","Total","Number",":"
"2005W43","Latvia","Total","Number","656"
"2005W43","Lithuania","Total","Number","907"
"2005W43","Luxembourg","Total","Number","68"
"2005W43","Hungary","Total","Number","2,524"
"2005W43","Malta","Total","Number",":"
"2005W43","Netherlands","Total","Number","2,502"
"2005W43","Austria","Total","Number","1,411"
"2005W43","Poland","Total","Number","6,989"
"2005W43","Portugal","Total","Number","1,787"
"2005W43","Romania","Total","Number",":"
"2005W43","Slovenia","Total","Number","322"
"2005W43","Slovakia","Total","Number","1,018"
"2005W43","Finland","Total","Number","937"
"2005W43","Sweden","Total","Number","1,651"
"2005W43","Iceland","Total","Number","33"
"2005W43","Liechtenstein","Total","Number","5"
"2005W43","Norway","Total","Number","780"
"2005W43","Switzerland","Total","Number","1,094"
"2005W43","United Kingdom","Total","Number",":"
"2005W43","Montenegro","Total","Number","98"
"2005W43","Albania","Total","Number",":"
"2005W43","Serbia","Total","Number","2,004"
"2005W43","Andorra","Total","Number",":"
"2005W43","Armenia","Total","Number",":"
"2005W43","Georgia","Total","Number",":"
"2005W44","Belgium","Total","Number","1,816"
"2005W44","Bulgaria","Total","Number","2,138"
"2005W44","Czechia","Total","Number","1,946"
"2005W44","Denmark","Total","Number",":"
"2005W44","Germany (until 1990 former territory of the FRG)","Total","Number","15,149"
"2005W44","Estonia","Total","Number","334"
"2005W44","Ireland","Total","Number",":"
"2005W44","Greece","Total","Number",":"
"2005W44","Spain","Total","Number","6,452"
"2005W44","France","Total","Number",":"
"2005W44","Croatia","Total","Number","944"
"2005W44","Italy","Total","Number",":"
"2005W44","Cyprus","Total","Number",":"
"2005W44","Latvia","Total","Number","603"
"2005W44","Lithuania","Total","Number","859"
"2005W44","Luxembourg","Total","Number","67"
"2005W44","Hungary","Total","Number","2,501"
"2005W44","Malta","Total","Number",":"
"2005W44","Netherlands","Total","Number","2,329"
"2005W44","Austria","Total","Number","1,396"
"2005W44","Poland","Total","Number","7,070"
"2005W44","Portugal","Total","Number","1,800"
"2005W44","Romania","Total","Number",":"
"2005W44","Slovenia","Total","Number","352"
"2005W44","Slovakia","Total","Number","1,007"
"2005W44","Finland","Total","Number","881"
"2005W44","Sweden","Total","Number","1,633"
"2005W44","Iceland","Total","Number","34"
"2005W44","Liechtenstein","Total","Number","1"
"2005W44","Norway","Total","Number","760"
"2005W44","Switzerland","Total","Number","1,126"
"2005W44","United Kingdom","Total","Number",":"
"2005W44","Montenegro","Total","Number","114"
"2005W44","Albania","Total","Number",":"
"2005W44","Serbia","Total","Number","2,069"
"2005W44","Andorra","Total","Number",":"
"2005W44","Armenia","Total","Number",":"
"2005W44","Georgia","Total","Number",":"
"2005W45","Belgium","Total","Number","1,892"
"2005W45","Bulgaria","Total","Number","2,278"
"2005W45","Czechia","Total","Number","1,881"
"2005W45","Denmark","Total","Number",":"
"2005W45","Germany (until 1990 former territory of the FRG)","Total","Number","15,314"
"2005W45","Estonia","Total","Number","310"
"2005W45","Ireland","Total","Number",":"
"2005W45","Greece","Total","Number",":"
"2005W45","Spain","Total","Number","6,784"
"2005W45","France","Total","Number",":"
"2005W45","Croatia","Total","Number","942"
"2005W45","Italy","Total","Number",":"
"2005W45","Cyprus","Total","Number",":"
"2005W45","Latvia","Total","Number","636"
"2005W45","Lithuania","Total","Number","808"
"2005W45","Luxembourg","Total","Number","64"
"2005W45","Hungary","Total","Number","2,600"
"2005W45","Malta","Total","Number",":"
"2005W45","Netherlands","Total","Number","2,422"
"2005W45","Austria","Total","Number","1,388"
"2005W45","Poland","Total","Number","6,565"
"2005W45","Portugal","Total","Number","1,899"
"2005W45","Romania","Total","Number",":"
"2005W45","Slovenia","Total","Number","324"
"2005W45","Slovakia","Total","Number","1,004"
"2005W45","Finland","Total","Number","846"
"2005W45","Sweden","Total","Number","1,606"
"2005W45","Iceland","Total","Number","32"
"2005W45","Liechtenstein","Total","Number","3"
"2005W45","Norway","Total","Number","754"
"2005W45","Switzerland","Total","Number","1,098"
"2005W45","United Kingdom","Total","Number",":"
"2005W45","Montenegro","Total","Number","105"
"2005W45","Albania","Total","Number",":"
"2005W45","Serbia","Total","Number","2,000"
"2005W45","Andorra","Total","Number",":"
"2005W45","Armenia","Total","Number",":"
"2005W45","Georgia","Total","Number",":"
"2005W46","Belgium","Total","Number","1,847"
"2005W46","Bulgaria","Total","Number","2,226"
"2005W46","Czechia","Total","Number","1,977"
"2005W46","Denmark","Total","Number",":"
"2005W46","Germany (until 1990 former territory of the FRG)","Total","Number","15,611"
"2005W46","Estonia","Total","Number","342"
"2005W46","Ireland","Total","Number",":"
"2005W46","Greece","Total","Number",":"
"2005W46","Spain","Total","Number","7,051"
"2005W46","France","Total","Number",":"
"2005W46","Croatia","Total","Number","999"
"2005W46","Italy","Total","Number",":"
"2005W46","Cyprus","Total","Number",":"
"2005W46","Latvia","Total","Number","673"
"2005W46","Lithuania","Total","Number","867"
"2005W46","Luxembourg","Total","Number","68"
"2005W46","Hungary","Total","Number","2,553"
"2005W46","Malta","Total","Number",":"
"2005W46","Netherlands","Total","Number","2,493"
"2005W46","Austria","Total","Number","1,436"
"2005W46","Poland","Total","Number","6,950"
"2005W46","Portugal","Total","Number","2,029"
"2005W46","Romania","Total","Number",":"
"2005W46","Slovenia","Total","Number","359"
"2005W46","Slovakia","Total","Number","1,021"
"2005W46","Finland","Total","Number","899"
"2005W46","Sweden","Total","Number","1,660"
"2005W46","Iceland","Total","Number","53"
"2005W46","Liechtenstein","Total","Number","5"
"2005W46","Norway","Total","Number","702"
"2005W46","Switzerland","Total","Number","1,188"
"2005W46","United Kingdom","Total","Number",":"
"2005W46","Montenegro","Total","Number","124"
"2005W46","Albania","Total","Number",":"
"2005W46","Serbia","Total","Number","1,970"
"2005W46","Andorra","Total","Number",":"
"2005W46","Armenia","Total","Number",":"
"2005W46","Georgia","Total","Number",":"
"2005W47","Belgium","Total","Number","1,916"
"2005W47","Bulgaria","Total","Number","2,277"
"2005W47","Czechia","Total","Number","2,060"
"2005W47","Denmark","Total","Number",":"
"2005W47","Germany (until 1990 former territory of the FRG)","Total","Number","16,280"
"2005W47","Estonia","Total","Number","330"
"2005W47","Ireland","Total","Number",":"
"2005W47","Greece","Total","Number",":"
"2005W47","Spain","Total","Number","7,025"
"2005W47","France","Total","Number",":"
"2005W47","Croatia","Total","Number","1,040"
"2005W47","Italy","Total","Number",":"
"2005W47","Cyprus","Total","Number",":"
"2005W47","Latvia","Total","Number","643"
"2005W47","Lithuania","Total","Number","868"
"2005W47","Luxembourg","Total","Number","68"
"2005W47","Hungary","Total","Number","2,663"
"2005W47","Malta","Total","Number",":"
"2005W47","Netherlands","Total","Number","2,700"
"2005W47","Austria","Total","Number","1,472"
"2005W47","Poland","Total","Number","7,128"
"2005W47","Portugal","Total","Number","2,023"
"2005W47","Romania","Total","Number",":"
"2005W47","Slovenia","Total","Number","374"
"2005W47","Slovakia","Total","Number","1,069"
"2005W47","Finland","Total","Number","879"
"2005W47","Sweden","Total","Number","1,718"
"2005W47","Iceland","Total","Number","29"
"2005W47","Liechtenstein","Total","Number","6"
"2005W47","Norway","Total","Number","762"
"2005W47","Switzerland","Total","Number","1,286"
"2005W47","United Kingdom","Total","Number",":"
"2005W47","Montenegro","Total","Number","130"
"2005W47","Albania","Total","Number",":"
"2005W47","Serbia","Total","Number","2,163"
"2005W47","Andorra","Total","Number",":"
"2005W47","Armenia","Total","Number",":"
"2005W47","Georgia","Total","Number",":"
"2005W48","Belgium","Total","Number","2,098"
"2005W48","Bulgaria","Total","Number","2,269"
"2005W48","Czechia","Total","Number","2,113"
"2005W48","Denmark","Total","Number",":"
"2005W48","Germany (until 1990 former territory of the FRG)","Total","Number","16,866"
"2005W48","Estonia","Total","Number","335"
"2005W48","Ireland","Total","Number",":"
"2005W48","Greece","Total","Number",":"
"2005W48","Spain","Total","Number","7,528"
"2005W48","France","Total","Number",":"
"2005W48","Croatia","Total","Number","989"
"2005W48","Italy","Total","Number",":"
"2005W48","Cyprus","Total","Number",":"
"2005W48","Latvia","Total","Number","659"
"2005W48","Lithuania","Total","Number","845"
"2005W48","Luxembourg","Total","Number","74"
"2005W48","Hungary","Total","Number","2,621"
"2005W48","Malta","Total","Number",":"
"2005W48","Netherlands","Total","Number","2,674"
"2005W48","Austria","Total","Number","1,546"
"2005W48","Poland","Total","Number","7,208"
"2005W48","Portugal","Total","Number","2,204"
"2005W48","Romania","Total","Number",":"
"2005W48","Slovenia","Total","Number","383"
"2005W48","Slovakia","Total","Number","1,047"
"2005W48","Finland","Total","Number","866"
"2005W48","Sweden","Total","Number","1,725"
"2005W48","Iceland","Total","Number","32"
"2005W48","Liechtenstein","Total","Number","2"
"2005W48","Norway","Total","Number","792"
"2005W48","Switzerland","Total","Number","1,254"
"2005W48","United Kingdom","Total","Number",":"
"2005W48","Montenegro","Total","Number","112"
"2005W48","Albania","Total","Number",":"
"2005W48","Serbia","Total","Number","2,015"
"2005W48","Andorra","Total","Number",":"
"2005W48","Armenia","Total","Number",":"
"2005W48","Georgia","Total","Number",":"
"2005W49","Belgium","Total","Number","2,121"
"2005W49","Bulgaria","Total","Number","2,252"
"2005W49","Czechia","Total","Number","2,018"
"2005W49","Denmark","Total","Number",":"
"2005W49","Germany (until 1990 former territory of the FRG)","Total","Number","16,356"
"2005W49","Estonia","Total","Number","369"
"2005W49","Ireland","Total","Number",":"
"2005W49","Greece","Total","Number",":"
"2005W49","Spain","Total","Number","7,153"
"2005W49","France","Total","Number",":"
"2005W49","Croatia","Total","Number","1,093"
"2005W49","Italy","Total","Number",":"
"2005W49","Cyprus","Total","Number",":"
"2005W49","Latvia","Total","Number","699"
"2005W49","Lithuania","Total","Number","865"
"2005W49","Luxembourg","Total","Number","87"
"2005W49","Hungary","Total","Number","2,571"
"2005W49","Malta","Total","Number",":"
"2005W49","Netherlands","Total","Number","2,710"
"2005W49","Austria","Total","Number","1,419"
"2005W49","Poland","Total","Number","7,219"
"2005W49","Portugal","Total","Number","2,097"
"2005W49","Romania","Total","Number",":"
"2005W49","Slovenia","Total","Number","364"
"2005W49","Slovakia","Total","Number","1,009"
"2005W49","Finland","Total","Number","869"
"2005W49","Sweden","Total","Number","1,788"
"2005W49","Iceland","Total","Number","37"
"2005W49","Liechtenstein","Total","Number","5"
"2005W49","Norway","Total","Number","830"
"2005W49","Switzerland","Total","Number","1,248"
"2005W49","United Kingdom","Total","Number",":"
"2005W49","Montenegro","Total","Number","108"
"2005W49","Albania","Total","Number",":"
"2005W49","Serbia","Total","Number","1,939"
"2005W49","Andorra","Total","Number",":"
"2005W49","Armenia","Total","Number",":"
"2005W49","Georgia","Total","Number",":"
"2005W50","Belgium","Total","Number","2,069"
"2005W50","Bulgaria","Total","Number","2,373"
"2005W50","Czechia","Total","Number","2,068"
"2005W50","Denmark","Total","Number",":"
"2005W50","Germany (until 1990 former territory of the FRG)","Total","Number","16,686"
"2005W50","Estonia","Total","Number","357"
"2005W50","Ireland","Total","Number",":"
"2005W50","Greece","Total","Number",":"
"2005W50","Spain","Total","Number","7,493"
"2005W50","France","Total","Number",":"
"2005W50","Croatia","Total","Number","1,030"
"2005W50","Italy","Total","Number",":"
"2005W50","Cyprus","Total","Number",":"
"2005W50","Latvia","Total","Number","691"
"2005W50","Lithuania","Total","Number","850"
"2005W50","Luxembourg","Total","Number","69"
"2005W50","Hungary","Total","Number","2,663"
"2005W50","Malta","Total","Number",":"
"2005W50","Netherlands","Total","Number","2,719"
"2005W50","Austria","Total","Number","1,474"
"2005W50","Poland","Total","Number","7,350"
"2005W50","Portugal","Total","Number","2,128"
"2005W50","Romania","Total","Number",":"
"2005W50","Slovenia","Total","Number","385"
"2005W50","Slovakia","Total","Number","1,059"
"2005W50","Finland","Total","Number","953"
"2005W50","Sweden","Total","Number","1,732"
"2005W50","Iceland","Total","Number","34"
"2005W50","Liechtenstein","Total","Number","2"
"2005W50","Norway","Total","Number","819"
"2005W50","Switzerland","Total","Number","1,216"
"2005W50","United Kingdom","Total","Number",":"
"2005W50","Montenegro","Total","Number","93"
"2005W50","Albania","Total","Number",":"
"2005W50","Serbia","Total","Number","1,993"
"2005W50","Andorra","Total","Number",":"
"2005W50","Armenia","Total","Number",":"
"2005W50","Georgia","Total","Number",":"
"2005W51","Belgium","Total","Number","2,123"
"2005W51","Bulgaria","Total","Number","2,587"
"2005W51","Czechia","Total","Number","2,024"
"2005W51","Denmark","Total","Number",":"
"2005W51","Germany (until 1990 former territory of the FRG)","Total","Number","16,500"
"2005W51","Estonia","Total","Number","303"
"2005W51","Ireland","Total","Number",":"
"2005W51","Greece","Total","Number",":"
"2005W51","Spain","Total","Number","7,833"
"2005W51","France","Total","Number",":"
"2005W51","Croatia","Total","Number","1,030"
"2005W51","Italy","Total","Number",":"
"2005W51","Cyprus","Total","Number",":"
"2005W51","Latvia","Total","Number","653"
"2005W51","Lithuania","Total","Number","929"
"2005W51","Luxembourg","Total","Number","55"
"2005W51","Hungary","Total","Number","2,783"
"2005W51","Malta","Total","Number",":"
"2005W51","Netherlands","Total","Number","2,689"
"2005W51","Austria","Total","Number","1,472"
"2005W51","Poland","Total","Number","7,384"
"2005W51","Portugal","Total","Number","2,279"
"2005W51","Romania","Total","Number",":"
"2005W51","Slovenia","Total","Number","357"
"2005W51","Slovakia","Total","Number","1,057"
"2005W51","Finland","Total","Number","919"
"2005W51","Sweden","Total","Number","1,819"
"2005W51","Iceland","Total","Number","32"
"2005W51","Liechtenstein","Total","Number","3"
"2005W51","Norway","Total","Number","845"
"2005W51","Switzerland","Total","Number","1,313"
"2005W51","United Kingdom","Total","Number",":"
"2005W51","Montenegro","Total","Number","118"
"2005W51","Albania","Total","Number",":"
"2005W51","Serbia","Total","Number","2,134"
"2005W51","Andorra","Total","Number",":"
"2005W51","Armenia","Total","Number",":"
"2005W51","Georgia","Total","Number",":"
"2005W52","Belgium","Total","Number","2,167"
"2005W52","Bulgaria","Total","Number","2,541"
"2005W52","Czechia","Total","Number","2,112"
"2005W52","Denmark","Total","Number",":"
"2005W52","Germany (until 1990 former territory of the FRG)","Total","Number","16,825"
"2005W52","Estonia","Total","Number","388"
"2005W52","Ireland","Total","Number",":"
"2005W52","Greece","Total","Number",":"
"2005W52","Spain","Total","Number","8,245"
"2005W52","France","Total","Number",":"
"2005W52","Croatia","Total","Number","1,175"
"2005W52","Italy","Total","Number",":"
"2005W52","Cyprus","Total","Number",":"
"2005W52","Latvia","Total","Number","749"
"2005W52","Lithuania","Total","Number","995"
"2005W52","Luxembourg","Total","Number","85"
"2005W52","Hungary","Total","Number","2,736"
"2005W52","Malta","Total","Number",":"
"2005W52","Netherlands","Total","Number","2,713"
"2005W52","Austria","Total","Number","1,530"
"2005W52","Poland","Total","Number","7,825"
"2005W52","Portugal","Total","Number","2,279"
"2005W52","Romania","Total","Number",":"
"2005W52","Slovenia","Total","Number","357"
"2005W52","Slovakia","Total","Number","1,103"
"2005W52","Finland","Total","Number","973"
"2005W52","Sweden","Total","Number","1,957"
"2005W52","Iceland","Total","Number","31"
"2005W52","Liechtenstein","Total","Number","4"
"2005W52","Norway","Total","Number","908"
"2005W52","Switzerland","Total","Number","1,310"
"2005W52","United Kingdom","Total","Number",":"
"2005W52","Montenegro","Total","Number","137"
"2005W52","Albania","Total","Number",":"
"2005W52","Serbia","Total","Number","2,139"
"2005W52","Andorra","Total","Number",":"
"2005W52","Armenia","Total","Number",":"
"2005W52","Georgia","Total","Number",":"
"2006W01","Belgium","Total","Number","2,247"
"2006W01","Bulgaria","Total","Number","2,368"
"2006W01","Czechia","Total","Number","2,101"
"2006W01","Denmark","Total","Number",":"
"2006W01","Germany (until 1990 former territory of the FRG)","Total","Number","16,671"
"2006W01","Estonia","Total","Number","392"
"2006W01","Ireland","Total","Number",":"
"2006W01","Greece","Total","Number",":"
"2006W01","Spain","Total","Number","8,240"
"2006W01","France","Total","Number",":"
"2006W01","Croatia","Total","Number","1,087"
"2006W01","Italy","Total","Number",":"
"2006W01","Cyprus","Total","Number",":"
"2006W01","Latvia","Total","Number","682"
"2006W01","Lithuania","Total","Number","922"
"2006W01","Luxembourg","Total","Number","79"
"2006W01","Hungary","Total","Number","2,569"
"2006W01","Malta","Total","Number",":"
"2006W01","Netherlands","Total","Number","2,751"
"2006W01","Austria","Total","Number","1,504"
"2006W01","Poland","Total","Number","7,504"
"2006W01","Portugal","Total","Number","2,233"
"2006W01","Romania","Total","Number",":"
"2006W01","Slovenia","Total","Number","359"
"2006W01","Slovakia","Total","Number","1,070"
"2006W01","Finland","Total","Number","1,014"
"2006W01","Sweden","Total","Number","1,867"
"2006W01","Iceland","Total","Number","32"
"2006W01","Liechtenstein","Total","Number","9"
"2006W01","Norway","Total","Number","877"
"2006W01","Switzerland","Total","Number","1,282"
"2006W01","United Kingdom","Total","Number",":"
"2006W01","Montenegro","Total","Number","141"
"2006W01","Albania","Total","Number",":"
"2006W01","Serbia","Total","Number","2,086"
"2006W01","Andorra","Total","Number",":"
"2006W01","Armenia","Total","Number",":"
"2006W01","Georgia","Total","Number",":"
"2006W02","Belgium","Total","Number","2,169"
"2006W02","Bulgaria","Total","Number","2,481"
"2006W02","Czechia","Total","Number","2,057"
"2006W02","Denmark","Total","Number",":"
"2006W02","Germany (until 1990 former territory of the FRG)","Total","Number","16,649"
"2006W02","Estonia","Total","Number","372"
"2006W02","Ireland","Total","Number",":"
"2006W02","Greece","Total","Number",":"
"2006W02","Spain","Total","Number","7,923"
"2006W02","France","Total","Number",":"
"2006W02","Croatia","Total","Number","1,044"
"2006W02","Italy","Total","Number",":"
"2006W02","Cyprus","Total","Number",":"
"2006W02","Latvia","Total","Number","651"
"2006W02","Lithuania","Total","Number","936"
"2006W02","Luxembourg","Total","Number","66"
"2006W02","Hungary","Total","Number","2,531"
"2006W02","Malta","Total","Number",":"
"2006W02","Netherlands","Total","Number","2,834"
"2006W02","Austria","Total","Number","1,473"
"2006W02","Poland","Total","Number","7,298"
"2006W02","Portugal","Total","Number","2,261"
"2006W02","Romania","Total","Number",":"
"2006W02","Slovenia","Total","Number","379"
"2006W02","Slovakia","Total","Number","1,045"
"2006W02","Finland","Total","Number","930"
"2006W02","Sweden","Total","Number","1,916"
"2006W02","Iceland","Total","Number","36"
"2006W02","Liechtenstein","Total","Number","4"
"2006W02","Norway","Total","Number","852"
"2006W02","Switzerland","Total","Number","1,294"
"2006W02","United Kingdom","Total","Number",":"
"2006W02","Montenegro","Total","Number","120"
"2006W02","Albania","Total","Number",":"
"2006W02","Serbia","Total","Number","2,177"
"2006W02","Andorra","Total","Number",":"
"2006W02","Armenia","Total","Number",":"
"2006W02","Georgia","Total","Number",":"
"2006W03","Belgium","Total","Number","2,220"
"2006W03","Bulgaria","Total","Number","2,380"
"2006W03","Czechia","Total","Number","2,169"
"2006W03","Denmark","Total","Number",":"
"2006W03","Germany (until 1990 former territory of the FRG)","Total","Number","16,991"
"2006W03","Estonia","Total","Number","373"
"2006W03","Ireland","Total","Number",":"
"2006W03","Greece","Total","Number",":"
"2006W03","Spain","Total","Number","7,936"
"2006W03","France","Total","Number",":"
"2006W03","Croatia","Total","Number","998"
"2006W03","Italy","Total","Number",":"
"2006W03","Cyprus","Total","Number",":"
"2006W03","Latvia","Total","Number","783"
"2006W03","Lithuania","Total","Number","1,013"
"2006W03","Luxembourg","Total","Number","78"
"2006W03","Hungary","Total","Number","2,643"
"2006W03","Malta","Total","Number",":"
"2006W03","Netherlands","Total","Number","2,769"
"2006W03","Austria","Total","Number","1,559"
"2006W03","Poland","Total","Number","7,425"
"2006W03","Portugal","Total","Number","2,298"
"2006W03","Romania","Total","Number",":"
"2006W03","Slovenia","Total","Number","365"
"2006W03","Slovakia","Total","Number","1,108"
"2006W03","Finland","Total","Number","943"
"2006W03","Sweden","Total","Number","1,798"
"2006W03","Iceland","Total","Number","34"
"2006W03","Liechtenstein","Total","Number","6"
"2006W03","Norway","Total","Number","868"
"2006W03","Switzerland","Total","Number","1,320"
"2006W03","United Kingdom","Total","Number",":"
"2006W03","Montenegro","Total","Number","127"
"2006W03","Albania","Total","Number",":"
"2006W03","Serbia","Total","Number","2,255"
"2006W03","Andorra","Total","Number",":"
"2006W03","Armenia","Total","Number",":"
"2006W03","Georgia","Total","Number",":"
"2006W04","Belgium","Total","Number","2,152"
"2006W04","Bulgaria","Total","Number","2,664"
"2006W04","Czechia","Total","Number","2,155"
"2006W04","Denmark","Total","Number",":"
"2006W04","Germany (until 1990 former territory of the FRG)","Total","Number","16,716"
"2006W04","Estonia","Total","Number","355"
"2006W04","Ireland","Total","Number",":"
"2006W04","Greece","Total","Number",":"
"2006W04","Spain","Total","Number","7,665"
"2006W04","France","Total","Number",":"
"2006W04","Croatia","Total","Number","1,009"
"2006W04","Italy","Total","Number",":"
"2006W04","Cyprus","Total","Number",":"
"2006W04","Latvia","Total","Number","805"
"2006W04","Lithuania","Total","Number","1,069"
"2006W04","Luxembourg","Total","Number","88"
"2006W04","Hungary","Total","Number","2,712"
"2006W04","Malta","Total","Number",":"
"2006W04","Netherlands","Total","Number","2,756"
"2006W04","Austria","Total","Number","1,524"
"2006W04","Poland","Total","Number","7,964"
"2006W04","Portugal","Total","Number","2,189"
"2006W04","Romania","Total","Number",":"
"2006W04","Slovenia","Total","Number","358"
"2006W04","Slovakia","Total","Number","1,110"
"2006W04","Finland","Total","Number","955"
"2006W04","Sweden","Total","Number","1,925"
"2006W04","Iceland","Total","Number","40"
"2006W04","Liechtenstein","Total","Number","8"
"2006W04","Norway","Total","Number","879"
"2006W04","Switzerland","Total","Number","1,238"
"2006W04","United Kingdom","Total","Number",":"
"2006W04","Montenegro","Total","Number","180"
"2006W04","Albania","Total","Number",":"
"2006W04","Serbia","Total","Number","2,193"
"2006W04","Andorra","Total","Number",":"
"2006W04","Armenia","Total","Number",":"
"2006W04","Georgia","Total","Number",":"
"2006W05","Belgium","Total","Number","2,076"
"2006W05","Bulgaria","Total","Number","2,703"
"2006W05","Czechia","Total","Number","2,111"
"2006W05","Denmark","Total","Number",":"
"2006W05","Germany (until 1990 former territory of the FRG)","Total","Number","16,884"
"2006W05","Estonia","Total","Number","350"
"2006W05","Ireland","Total","Number",":"
"2006W05","Greece","Total","Number",":"
"2006W05","Spain","Total","Number","7,936"
"2006W05","France","Total","Number",":"
"2006W05","Croatia","Total","Number","1,039"
"2006W05","Italy","Total","Number",":"
"2006W05","Cyprus","Total","Number",":"
"2006W05","Latvia","Total","Number","719"
"2006W05","Lithuania","Total","Number","978"
"2006W05","Luxembourg","Total","Number","82"
"2006W05","Hungary","Total","Number","2,596"
"2006W05","Malta","Total","Number",":"
"2006W05","Netherlands","Total","Number","2,839"
"2006W05","Austria","Total","Number","1,489"
"2006W05","Poland","Total","Number","7,639"
"2006W05","Portugal","Total","Number","2,576"
"2006W05","Romania","Total","Number",":"
"2006W05","Slovenia","Total","Number","359"
"2006W05","Slovakia","Total","Number","1,094"
"2006W05","Finland","Total","Number","889"
"2006W05","Sweden","Total","Number","1,921"
"2006W05","Iceland","Total","Number","34"
"2006W05","Liechtenstein","Total","Number","7"
"2006W05","Norway","Total","Number","832"
"2006W05","Switzerland","Total","Number","1,266"
"2006W05","United Kingdom","Total","Number",":"
"2006W05","Montenegro","Total","Number","115"
"2006W05","Albania","Total","Number",":"
"2006W05","Serbia","Total","Number","2,247"
"2006W05","Andorra","Total","Number",":"
"2006W05","Armenia","Total","Number",":"
"2006W05","Georgia","Total","Number",":"
"2006W06","Belgium","Total","Number","2,164"
"2006W06","Bulgaria","Total","Number","2,549"
"2006W06","Czechia","Total","Number","2,145"
"2006W06","Denmark","Total","Number",":"
"2006W06","Germany (until 1990 former territory of the FRG)","Total","Number","16,905"
"2006W06","Estonia","Total","Number","391"
"2006W06","Ireland","Total","Number",":"
"2006W06","Greece","Total","Number",":"
"2006W06","Spain","Total","Number","7,862"
"2006W06","France","Total","Number",":"
"2006W06","Croatia","Total","Number","1,087"
"2006W06","Italy","Total","Number",":"
"2006W06","Cyprus","Total","Number",":"
"2006W06","Latvia","Total","Number","678"
"2006W06","Lithuania","Total","Number","894"
"2006W06","Luxembourg","Total","Number","77"
"2006W06","Hungary","Total","Number","2,663"
"2006W06","Malta","Total","Number",":"
"2006W06","Netherlands","Total","Number","2,821"
"2006W06","Austria","Total","Number","1,658"
"2006W06","Poland","Total","Number","7,403"
"2006W06","Portugal","Total","Number","2,420"
"2006W06","Romania","Total","Number",":"
"2006W06","Slovenia","Total","Number","390"
"2006W06","Slovakia","Total","Number","1,119"
"2006W06","Finland","Total","Number","997"
"2006W06","Sweden","Total","Number","1,863"
"2006W06","Iceland","Total","Number","25"
"2006W06","Liechtenstein","Total","Number","4"
"2006W06","Norway","Total","Number","790"
"2006W06","Switzerland","Total","Number","1,286"
"2006W06","United Kingdom","Total","Number",":"
"2006W06","Montenegro","Total","Number","133"
"2006W06","Albania","Total","Number",":"
"2006W06","Serbia","Total","Number","2,180"
"2006W06","Andorra","Total","Number",":"
"2006W06","Armenia","Total","Number",":"
"2006W06","Georgia","Total","Number",":"
"2006W07","Belgium","Total","Number","2,203"
"2006W07","Bulgaria","Total","Number","2,556"
"2006W07","Czechia","Total","Number","2,143"
"2006W07","Denmark","Total","Number",":"
"2006W07","Germany (until 1990 former territory of the FRG)","Total","Number","16,746"
"2006W07","Estonia","Total","Number","371"
"2006W07","Ireland","Total","Number",":"
"2006W07","Greece","Total","Number",":"
"2006W07","Spain","Total","Number","7,978"
"2006W07","France","Total","Number",":"
"2006W07","Croatia","Total","Number","1,067"
"2006W07","Italy","Total","Number",":"
"2006W07","Cyprus","Total","Number",":"
"2006W07","Latvia","Total","Number","742"
"2006W07","Lithuania","Total","Number","918"
"2006W07","Luxembourg","Total","Number","70"
"2006W07","Hungary","Total","Number","2,796"
"2006W07","Malta","Total","Number",":"
"2006W07","Netherlands","Total","Number","2,843"
"2006W07","Austria","Total","Number","1,478"
"2006W07","Poland","Total","Number","7,327"
"2006W07","Portugal","Total","Number","2,296"
"2006W07","Romania","Total","Number",":"
"2006W07","Slovenia","Total","Number","354"
"2006W07","Slovakia","Total","Number","1,102"
"2006W07","Finland","Total","Number","949"
"2006W07","Sweden","Total","Number","1,811"
"2006W07","Iceland","Total","Number","30"
"2006W07","Liechtenstein","Total","Number","4"
"2006W07","Norway","Total","Number","836"
"2006W07","Switzerland","Total","Number","1,240"
"2006W07","United Kingdom","Total","Number",":"
"2006W07","Montenegro","Total","Number","126"
"2006W07","Albania","Total","Number",":"
"2006W07","Serbia","Total","Number","2,172"
"2006W07","Andorra","Total","Number",":"
"2006W07","Armenia","Total","Number",":"
"2006W07","Georgia","Total","Number",":"
"2006W08","Belgium","Total","Number","2,128"
"2006W08","Bulgaria","Total","Number","2,313"
"2006W08","Czechia","Total","Number","2,158"
"2006W08","Denmark","Total","Number",":"
"2006W08","Germany (until 1990 former territory of the FRG)","Total","Number","16,307"
