"TIME","GEO","SEX","UNIT","Value"
"2000W04","Hungary","Total","Number","2,972"
"2000W04","Malta","Total","Number",":"
"2000W04","Netherlands","Total","Number","3,202"
"2000W04","Austria","Total","Number","1,940"
"2000W04","Poland","Total","Number","9,380"
"2000W04","Portugal","Total","Number","3,112"
"2000W04","Romania","Total","Number",":"
"2000W04","Slovenia","Total","Number","457"
"2000W04","Slovakia","Total","Number","1,252"
"2000W04","Finland","Total","Number","1,112"
"2000W04","Sweden","Total","Number","2,087"
"2000W04","Iceland","Total","Number","37"
"2000W04","Liechtenstein","Total","Number","12"
"2000W04","Norway","Total","Number","1,044"
"2000W04","Switzerland","Total","Number","1,520"
"2000W04","United Kingdom","Total","Number",":"
"2000W04","Montenegro","Total","Number",":"
"2000W04","Albania","Total","Number",":"
"2000W04","Serbia","Total","Number","2,904"
"2000W04","Andorra","Total","Number",":"
"2000W04","Armenia","Total","Number",":"
"2000W04","Georgia","Total","Number",":"
"2000W05","Belgium","Total","Number","2,403"
"2000W05","Bulgaria","Total","Number","3,445"
"2000W05","Czechia","Total","Number",":"
"2000W05","Denmark","Total","Number",":"
"2000W05","Germany (until 1990 former territory of the FRG)","Total","Number","20,390"
"2000W05","Estonia","Total","Number","439"
"2000W05","Ireland","Total","Number",":"
"2000W05","Greece","Total","Number",":"
"2000W05","Spain","Total","Number","8,759"
"2000W05","France","Total","Number",":"
"2000W05","Croatia","Total","Number","1,328"
"2000W05","Italy","Total","Number",":"
"2000W05","Cyprus","Total","Number",":"
"2000W05","Latvia","Total","Number","718"
"2000W05","Lithuania","Total","Number","866"
"2000W05","Luxembourg","Total","Number","67"
"2000W05","Hungary","Total","Number","2,810"
"2000W05","Malta","Total","Number",":"
"2000W05","Netherlands","Total","Number","2,974"
"2000W05","Austria","Total","Number","1,928"
"2000W05","Poland","Total","Number","9,474"
"2000W05","Portugal","Total","Number","3,114"
"2000W05","Romania","Total","Number",":"
"2000W05","Slovenia","Total","Number","508"
"2000W05","Slovakia","Total","Number","1,364"
"2000W05","Finland","Total","Number","1,098"
"2000W05","Sweden","Total","Number","2,016"
"2000W05","Iceland","Total","Number","41"
"2000W05","Liechtenstein","Total","Number","6"
"2000W05","Norway","Total","Number","978"
"2000W05","Switzerland","Total","Number","1,429"
"2000W05","United Kingdom","Total","Number",":"
"2000W05","Montenegro","Total","Number",":"
"2000W05","Albania","Total","Number",":"
"2000W05","Serbia","Total","Number","2,474"
"2000W05","Andorra","Total","Number",":"
"2000W05","Armenia","Total","Number",":"
"2000W05","Georgia","Total","Number",":"
"2000W06","Belgium","Total","Number","2,201"
"2000W06","Bulgaria","Total","Number","2,861"
"2000W06","Czechia","Total","Number",":"
"2000W06","Denmark","Total","Number",":"
"2000W06","Germany (until 1990 former territory of the FRG)","Total","Number","19,229"
"2000W06","Estonia","Total","Number","476"
"2000W06","Ireland","Total","Number",":"
"2000W06","Greece","Total","Number",":"
"2000W06","Spain","Total","Number","7,858"
"2000W06","France","Total","Number",":"
"2000W06","Croatia","Total","Number","1,240"
"2000W06","Italy","Total","Number",":"
"2000W06","Cyprus","Total","Number",":"
"2000W06","Latvia","Total","Number","695"
"2000W06","Lithuania","Total","Number","871"
"2000W06","Luxembourg","Total","Number","86"
"2000W06","Hungary","Total","Number","2,695"
"2000W06","Malta","Total","Number",":"
"2000W06","Netherlands","Total","Number","2,840"
"2000W06","Austria","Total","Number","1,760"
"2000W06","Poland","Total","Number","8,591"
"2000W06","Portugal","Total","Number","2,683"
